Start Date,End Date,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,latitude,longitude,User Language,Q_RecaptchaScore,List of Countries,ds_interest,ds_years,treatment,treatment_check,control,control_check,quiz_1,quiz_2,quiz_3,quiz_4,quiz_5,quiz_6,quiz_7,quiz_8,quiz_9,quiz_10,external_resource,gender,age,education_level,enter_raffel,quiz_score,quiz_1_answr,quiz_2_answr,quiz_3_answr,quiz_4_answr,quiz_5_answr,quiz_6_answr,quiz_7_answr,quiz_8_answr,quiz_9_answr,quiz_10_answr,quiz_1_correct,quiz_2_correct,quiz_3_correct,quiz_4_correct,quiz_5_correct,quiz_6_correct,quiz_7_correct,quiz_8_correct,quiz_9_correct,quiz_10_correct,"country,state",sc_string
11/12/21 17:58,11/12/21 18:05,104.12.252.37,100,434,1,11/12/21 18:05,R_2B9EnRcpqHGCway,35.12930298,-80.86399841,EN,0.899999976,187.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,4.0,1,3,3,2,2,1,3,2,1,1,1,0,0,1,0,0,0,1,1,0,"United States,North Carolina",1412322213
11/12/21 18:21,11/12/21 18:27,24.7.124.139,100,378,1,11/12/21 18:27,R_10uXjs2DgetfWZT,38.24780273,-122.6192017,EN,1.0,187.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,0.0,2.0,2.0,1.0,4.0,1,3,3,2,2,1,3,2,1,1,0,1,0,0,0,1,0,1,1,0,"United States,California",3323112214
11/12/21 18:21,11/12/21 18:30,180.150.39.135,100,537,1,11/12/21 18:30,R_1AOlwgwmAAdBisV,-37.81590271,144.9668884,EN,0.899999976,9.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,7.0,1,3,3,2,2,1,3,2,1,1,1,1,1,0,1,1,0,1,1,0,"Australia,Victoria",1333214212
11/12/21 18:58,11/12/21 19:02,96.230.44.176,100,241,1,11/12/21 19:02,R_3qVtWRVzETEhAUs,42.15060425,-71.42680359,EN,0.899999976,187.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,4.0,1,3,3,2,2,1,3,2,1,1,1,0,0,1,0,1,0,0,1,0,"United States,Massachusetts",1422111314
11/12/21 19:16,11/12/21 19:20,64.203.132.148,100,252,1,11/12/21 19:20,R_1FQUaSrkSI0bQJ2,37.77990723,-79.98809814,EN,0.899999976,187.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,0.0,3.0,2.0,1.0,4.0,1,3,3,2,2,1,3,2,1,1,1,0,0,0,0,1,0,1,1,0,"United States,Virginia",1224114213
11/12/21 19:23,11/12/21 19:31,104.28.123.182,100,500,1,11/12/21 19:31,R_1QhgfRNieEiSh4s,37.33880615,-121.8916016,EN,0.699999988,187.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,8.0,1,3,3,2,2,1,3,2,1,1,1,1,1,1,0,1,1,1,1,0,"United States,California",1332113212
11/12/21 19:48,11/12/21 19:50,161.129.60.42,100,111,1,11/12/21 19:50,R_sRObV72veZZDUiZ,52.52810669,5.713699341,EN,0.899999976,187.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,4.0,1,3,3,2,2,1,3,2,1,1,0,0,1,1,0,1,0,1,0,0,"Nederland,Flevoland",4232112223
11/12/21 19:48,11/12/21 19:54,151.200.20.58,100,330,1,11/12/21 19:54,R_1F8I86ke9dTJnnc,38.90339661,-76.98819733,EN,0.899999976,187.0,1.0,2.0,2.0,3.0,0.0,0.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,5.0,1,3,3,2,2,1,3,2,1,1,0,0,0,1,1,1,0,1,1,0,"United States,District of Columbia",4212211213
11/12/21 19:50,11/12/21 19:56,172.113.57.144,100,363,1,11/12/21 19:56,R_268OnjPZQ580qor,34.10040283,-118.2946014,EN,0.899999976,5.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,4.0,1,3,3,2,2,1,3,2,1,1,0,1,1,1,1,0,0,0,0,0,"United States,California",3332221332
11/12/21 19:57,11/12/21 20:03,76.102.38.139,100,402,1,11/12/21 20:04,R_0HDaBdRHendN441,37.77999878,-122.4649963,EN,1.0,187.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,0.0,3.0,2.0,1.0,7.0,1,3,3,2,2,1,3,2,1,1,1,0,1,1,1,1,1,1,0,0,"United States,California",1232213242
