Start Date,End Date,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,latitude,longitude,User Language,Q_RecaptchaScore,List of Countries,ds_interest,ds_years,treatment,treatment_check,control,control_check,quiz_1,quiz_2,quiz_3,quiz_4,quiz_5,quiz_6,quiz_7,quiz_8,quiz_9,quiz_10,external_resource,gender,age,education_level,enter_raffel,quiz_score
11/12/21 17:24,11/12/21 17:25,24.4.7.205,100,11,1,11/12/21 17:25,R_3MM9Aax3x9yeIzV,37.38589478,-122.0881958,EN,1,2,2,,,,,,,,,,,,,,,,,,,,,
11/12/21 17:58,11/12/21 18:05,104.12.252.37,100,434,1,11/12/21 18:05,R_2B9EnRcpqHGCway,35.12930298,-80.86399841,EN,0.899999976,187,1,1,,,3,2,1,4,1,2,3,2,2,2,1,3,2,1,2,3,2,4
11/12/21 18:21,11/12/21 18:27,24.7.124.139,100,378,1,11/12/21 18:27,R_10uXjs2DgetfWZT,38.24780273,-122.6192017,EN,1,187,1,1,2,3,,,3,3,2,3,1,1,2,2,1,4,2,1,3,3,2,4
11/12/21 18:21,11/12/21 18:30,180.150.39.135,100,537,1,11/12/21 18:30,R_1AOlwgwmAAdBisV,-37.81590271,144.9668884,EN,0.899999976,9,1,1,,,3,2,1,3,3,3,2,1,4,2,1,2,1,1,4,3,2,7
11/12/21 18:58,11/12/21 19:02,96.230.44.176,100,241,1,11/12/21 19:02,R_3qVtWRVzETEhAUs,42.15060425,-71.42680359,EN,0.899999976,187,1,2,,,3,2,1,4,2,2,1,1,1,3,1,4,2,1,2,3,2,4
11/12/21 19:16,11/12/21 19:20,64.203.132.148,100,252,1,11/12/21 19:20,R_1FQUaSrkSI0bQJ2,37.77990723,-79.98809814,EN,0.899999976,187,1,3,2,3,,,1,2,2,4,1,1,4,2,1,3,2,1,4,3,2,4
11/12/21 19:23,11/12/21 19:31,104.28.123.182,100,500,1,11/12/21 19:31,R_1QhgfRNieEiSh4s,37.33880615,-121.8916016,EN,0.699999988,187,1,4,,,1,2,1,3,3,2,1,1,3,2,1,2,2,1,4,4,1,8
11/12/21 19:48,11/12/21 19:49,67.170.181.236,100,68,1,11/12/21 19:49,R_2ay3RVbdid0qtbd,45.51730347,-122.639801,EN,0.800000012,187,2,,,,,,,,,,,,,,,,,,,,,
11/12/21 19:48,11/12/21 19:50,161.129.60.42,100,111,1,11/12/21 19:50,R_sRObV72veZZDUiZ,52.52810669,5.713699341,EN,0.899999976,187,1,2,,,1,2,4,2,3,2,1,1,2,2,2,3,1,1,2,3,2,4
11/12/21 19:48,11/12/21 19:54,151.200.20.58,100,330,1,11/12/21 19:54,R_1F8I86ke9dTJnnc,38.90339661,-76.98819733,EN,0.899999976,187,1,2,2,3,,,4,2,1,2,2,1,1,2,1,3,2,2,3,3,1,5
11/12/21 19:50,11/12/21 19:56,172.113.57.144,100,363,1,11/12/21 19:56,R_268OnjPZQ580qor,34.10040283,-118.2946014,EN,0.899999976,5,1,2,,,1,2,3,3,3,2,2,2,1,3,3,2,1,2,2,3,2,4
11/12/21 19:57,11/12/21 20:03,76.102.38.139,100,402,1,11/12/21 20:04,R_0HDaBdRHendN441,37.77999878,-122.4649963,EN,1,187,1,3,2,3,,,1,2,3,2,2,1,3,2,4,2,2,1,4,3,2,7
11/12/21 19:58,11/12/21 20:06,136.34.37.0,100,462,1,11/12/21 20:06,R_3r2QJCFA9027vXU,39.08309937,-94.58529663,EN,0.899999976,187,1,2,2,3,,,1,2,2,3,2,1,1,2,4,1,2,2,2,3,2,5
11/12/21 21:02,11/12/21 21:07,97.113.159.246,100,299,1,11/12/21 21:07,R_1eDKsu0PYu96Nzr,47.57409668,-122.3974991,EN,1,,1,1,1,3,,,3,3,2,4,1,1,4,2,1,1,2,2,5,4,2,5
11/12/21 22:21,11/12/21 22:23,204.42.29.247,100,97,1,11/12/21 22:23,R_6r51MhVUY80Iuul,40.56559753,-89.62509918,EN,0.899999976,187,2,,,,,,,,,,,,,,,,,,,,,
11/12/21 22:20,11/12/21 22:24,70.224.72.167,100,232,1,11/12/21 22:24,R_30rbzNoLB0oFhIp,28.06080627,-80.67220306,EN,1,187,2,,,,,,,,,,,,,,,,,,,,,
11/13/21 0:04,11/13/21 0:16,172.113.57.144,100,747,1,11/13/21 0:16,R_1rNxoN6NrmWgUgh,34.10040283,-118.2946014,EN,0.899999976,187,1,2,2,3,,,4,3,3,2,1,1,2,3,3,2,2,1,2,3,2,4
11/13/21 0:04,11/13/21 0:17,47.188.173.173,100,809,1,11/13/21 0:17,R_CZJkfywGS596uQx,33.07339478,-97.30509949,EN,0.899999976,187,1,2,,,3,1,3,3,2,3,2,1,2,2,3,2,2,1,2,3,2,4
